Word1,Word2,Rhyme
gannon,stellmach,0
churlish,starches,0
gaultney,martensen,0
longspurs,messamore,0
reznik,zeleznik,1
postretirement,hochtief,0
borgeson,torgeson,1
arcand,mathey,0
pakulski,satirical,0
jessamine,jessamyn,1
ruppert,huppert,1
astoundingly,astoundingly,1
reverie,every,1
sandell,sandel,1
maclachlan,maclachlan,1
langenberg,hajduk,0
ambrosia,fosia,1
lubbock,kissick,0
farmhouses,weltman,0
lieson,lieson,1
amarillos,lauzon,0
jowl,parga,0
rumble,bustling,0
trudging,alu,0
scrubbing,dubbing,1
learning,berning,1
engravings,shavings,1
klopf,kropf,1
noorda,needier,0
barham,cheapen,0
prattles,sehorn,0
plaudit,royalty,0
indianapolis,isner,0
douds,clouds,1
ziad,violence,0
tricuspid,rollers,0
claridges,miscarriages,1
jaqua,elgie,0
standex,nighters,0
dulski,aubrey,0
welcome,numbering,0
scrubbers,ruhe,0
hadwin,aretha,0
weisenberger,berghof,0
duboise,defects,0
tebuthiuron,agouron,1
kelber,kelber,1
stationing,stationing,1
transplanting,brookes,0
arnolphe,ekstrom,0
kridler,wilhoite,0
lumina,rumina,1
sensitivities,sensitivities,1
frantically,gluskin,0
hibbett,exhibit,1
racist,discernible,0
scantlin,cotton,0
navies,chevies,0
antecedents,reestablishing,0
roughest,paredes,0
marshman,marshman,1
wilkens,milkens,1
patlan,patlan,1
warpath,refco,0
nichol,mihal,0
groovy,schroepfer,0
ambiance,savvy,0
elek,durrance,0
livid,livid,1
confidants,implants,1
olaughlin,olaughlin,1
entered,centered,1
gaucho,woodley,0
amaranth,witman,0
iranian,jepsen,0
armington,armington,1
whetsel,ghosts,0
emotional,unemotional,1
revoked,dangling,0
mismanagement,tapia,0
norberg,warburg,1
obstructing,destructing,1
insurgent,scriver,0
rightist,unanswered,0
mussels,worshipers,0
folgers,prellwitz,0
picketing,lahood,0
gatwick,counsellor,0
maish,jindra,0
absorber,absorber,1
burials,aerials,1
staunch,claunch,1
oyen,preventive,0
boudoir,parentheses,0
stayover,zopfi,0
jillian,piedra,0
hulton,nulton,1
wobbling,hobbling,1
gondolas,midges,0
longan,wallstreet,0
banging,destructive,0
bustard,crosthwaite,0
helena,helena,1
bogdon,brogdon,1
samford,renegades,0
argo,camargo,1
contant,fitchburg,0
particularity,auther,0
matson,watson,1
inkatha,corrects,0
furbishing,refurbishing,1
mcroberts,zilvia,0
gamco,tichenor,0
kimbley,tooled,0
ferderer,fretful,0
husks,shadwick,0
pacto,facto,1
autonomy,gastronomy,1
sentman,trentman,1
addressable,environmentalist,0
rozek,warford,0
pansies,chimpanzees,1
hamby,orcas,0
fulco,jergens,0
cogdell,cogdill,1
cowbells,forewarned,0
fishers,underbelly,0
aurea,bustard,0
vaulted,sloves,0
rimel,pelleu,0
distributor,cooperrider,0
sandstrom,sandstrom,1
boob,tube,1
hilbun,winward,0
permut,dermot,1
biros,storytellers,0
astringents,halverson,0
siris,earthen,0
wacko,yacko,1
ertl,ertel,1
astronomers,pinocchio,0
objectors,lechters,1
zilvia,boldest,0
lifted,banya,0
zeleznik,reznick,1
beckum,debriefing,0
cabana,paulo,0
smirnoff,smirnoff,1
horticultural,chemania,0
merryman,ferryman,1
newness,specially,0
sweetens,interminably,0
puccinelli,tidrick,0
sambo,rambo,1
bigsby,liquid,0
inequality,sociable,0
hilley,georges,0
maben,habben,1
clarins,bedeviled,0
golladay,cornish,0
pincus,marcinkus,1
announcement,crippen,0
mckenny,heinecke,0
manifests,snackwells,0
ravaged,hurwitz,0
naim,gillin,0
orval,bishop,0
encumbered,knobloch,0
overlooking,waverley,0
spitznagel,indentured,0
abnormal,informal,1
arid,korean,0
dunckel,makeovers,0
napoleon,napoleon,1
disheartened,disheartened,1
periodical,periodical,1
bivins,aurelio,0
faceless,faceless,1
givins,ivins,1
probus,goldfeder,0
mcdonagh,mcdonagh,1
chairwomen,mankin,0
harbin,montagnier,0
mulford,mulford,1
chaplin,wilk,0
epilogue,stronger,0
tetlow,handsaws,0
plotnick,approaches,0
lowest,consult,0
livid,postmark,0
andie,zandy,1
quintuplet,octuplet,1
moten,wroten,1
securities,smilgis,0
softimage,reconnoiter,0
hogland,hogland,1
lott,cott,1
scohier,hiccups,0
yugo,nominally,0
business,nonbusiness,1
hodgin,hodgin,1
volcanos,spanos,1
hunkered,drunkard,1
redemptions,conscripted,0
harth,allowances,0
puritanisms,lampo,0
bathrobe,restaurants,0
harnage,westcap,0
materializes,delbarco,0
zieske,gieske,1
modugno,modugno,1
neubauer,newbauer,1
contraptions,cheston,0
alister,macallister,1
staggers,snaggers,1
contraceptive,contraceptive,1
preferenced,shoplifting,0
givenchy,forearms,0
hygienists,cleanness,1
bulfinch,bulfinch,1
charges,divinely,0
englehardt,sparacio,0
defeatism,equality,0
tarbet,sampsel,0
garrigan,garrigan,1
flowcharts,allergan,0
public,rudner,0
warners,bawden,0
bader,grader,1
lepisto,lepisto,1
tardif,algorithm,0
turbos,equating,0
halperin,halperin,1
christy,humans,0
dressings,blessings,1
franchik,franchik,1
rollins,mazzei,0
bendorf,silicon,0
huether,huether,1
brundidge,brundidge,1
becket,pecot,1
frederick,frederick,1
teetering,lusser,0
hutzell,hutzell,1
alpa,particulate,0
taunting,corks,0
delirious,imperious,1
blackledge,cartledge,1
kinmen,hinmen,1
interdependence,redefining,0
seney,rennie,1
folgers,assemble,0
nonprofessionals,hulme,0
todt,leatrice,0
clustered,pulford,0
bibbo,debo,1
wowed,mart,0
truchan,hovorka,0
pivoting,gurtler,0
laing,absolom,0
izansky,sapanski,1
bacchus,crowded,0
branscomb,hanscom,1
seasoning,kallmeyer,0
koberstein,basurto,0
salak,blalack,1
mythology,fernand,0
schairer,pickus,0
stranded,discredited,0
professionally,professionally,1
hosick,rational,0
remarkable,sherbourne,0
constitutionists,hinman,0
alimenies,eilers,0
bonier,bonier,1
embers,mapped,0
exhibited,woodwind,0
kocher,remover,0
entitles,exponentially,0
utensils,dederichs,0
nylander,balloons,0
clapham,touches,0
tarnished,groundling,0
fetner,fetner,1
richelson,mitchelson,1
gharbonifar,mudgett,0
angoras,angoras,1
demisch,dish,1
sivils,godfathers,0
messaging,grummond,0
mook,ishmael,0
rennert,sehnert,1
darrick,arrick,1
mayton,expeditiously,0
accepted,forewarns,0
murders,northeasterners,0
concomitantly,concomitantly,1
curtains,curtains,1
euan,winona,0
alleged,frauds,0
approve,looped,0
adjoining,frosted,0
lenahan,gahagan,0
tisdell,classmen,0
references,references,1
peery,luthy,0
willamette,sagraves,0
potion,reinard,0
complimentary,rudimentary,1
closet,biopharmaceutical,0
elwin,defranco,0
grabens,boorda,0
charest,hortman,0
hingston,springston,1
algorithm,logarithm,1
accosting,osting,1
breathy,hagg,0
vindictiveness,eliciting,0
prolactin,burkland,0
lenin,kampe,0
kallstrom,hallstrom,1
pigford,bigford,1
apartment,landess,0
filings,pilings,1
hopkins,doland,0
huddled,stagecoach,0
torgeson,puffing,0
hunte,bunte,1
mnookin,humburg,0
danju,danju,1
capua,capua,1
scrounging,neidlinger,0
keady,reber,0
mathiesen,matthiesen,1
halpin,halpin,1
onofre,unrue,0
kirklin,skellenger,0
sartre,foxx,0
booras,kuras,1
fissel,epistle,1
imparted,charted,1
hansma,hugill,0
pellerin,advantages,0
convincing,rudner,0
soderberg,stahlecker,0
spradlin,spradlin,1
whisler,announces,0
undergrowth,kimzey,0
bajema,ketema,1
misstatements,bachelor,0
bixler,bicksler,1
planking,recognizes,0
hillier,licensed,0
flattening,fattening,1
kapor,sheltered,0
carriage,outlives,0
reopens,fontes,0
russians,senf,0
truxal,nuxoll,1
hedgehog,hirulog,1
hinchman,pfeiff,0
hobbyists,stringy,0
rottmann,settling,0
hemmingsen,soldner,0
gelatin,skeleton,1
theory,faragher,0
cobern,heifers,0
riemersma,oftener,0
winslett,milford,0
bather,blather,1
luxurious,spurious,1
watches,increasing,0
lowndes,ventura,0
brittany,litany,1
salesperson,cornish,0
judged,smudged,1
deacon,destructable,0
omega,omega,1
wessells,compatible,0
bintz,kintz,1
wetzstein,conyer,0
madaris,aerials,0
hannagan,distributed,0
guilders,ponsolle,0
kuffel,ruffle,1
twiford,liford,1
sadler,salzburg,0
tunic,drenched,0
gobbled,lagunas,0
dishing,havran,0
mellott,misread,0
routers,effects,0
favored,charitably,0
parishes,cherishes,1
commode,spinner,0
field,neeld,1
seizure,lueck,0
flycatcher,flycatcher,1
gamel,pommel,1
swearing,tinsley,0
cisler,crysler,1
solaman,solaman,1
curtin,curtin,1
etherton,interprets,0
telemundo,braggs,0
oleksy,anecdotes,0
woodrum,woodrum,1
goodrick,garibaldi,0
needler,remainder,0
macrodantin,santin,1
hornet,electrocuted,0
stomp,psychotherapeutic,0
borowiec,darkly,0
littler,spitler,1
dietzman,daponte,0
heiges,obliges,1
bretthauer,telemedicine,0
fechner,brazda,0
mulls,skulls,1
andes,candies,1
reformist,bellsouth,0
leaners,greatest,0
misinterpret,monier,0
gauges,pages,1
athey,goodfellows,0
paused,paused,1
grundig,brundige,1
byrom,hiram,1
magnanimous,pusillanimous,1
nygard,vanhouten,0
feazel,diesel,1
sabotage,monty,0
covarrubias,galerias,1
ganzel,followell,0
yucca,blunted,0
winker,kunert,0
reefers,reefers,1
gale,perished,0
terrorists,terrorists,1
churchman,nicolson,0
rosenburg,rosenburg,1
further,corruptible,0
clapping,thomason,0
hendriksen,bushell,0
predecessors,disheartened,0
havard,conference,0
virago,extracurricular,0
tightest,slightest,1
costin,costin,1
isis,isis,1
surrendered,inquirer,0
mininger,whisked,0
proscia,olympic,0
accouterment,simonds,0
livery,livery,1
idiopathic,entered,0
ballew,scipio,0
prestigious,giggly,0
padrick,cabbage,0
hanvey,hanvey,1
nationalist,ultranationalist,1
kashner,taschner,1
touchable,untouchable,1
terrestrial,delivery,0
rescinded,addie,0
grumbling,attkisson,0
barnum,ratte,0
baskins,gaskins,1
jimerson,drowsy,0
schrempp,harness,0
articulates,hilt,0
tumlin,leffel,0
hobaugh,delightfully,0
outweighing,limpert,0
zippo,grippo,1
weigandt,refinish,0
frumpy,outrunning,0
boyson,debes,0
chairwomen,policewomen,1
arbitrarily,unnecessarily,1
maddox,cheslock,0
gloeckner,dwarfed,0
schwenker,focused,0
nappo,cappo,1
brixey,palauans,0
jab,minister,0
kudner,budner,1
probably,cambrian,0
pinocchio,ginocchio,1
reopen,halton,0
myerson,gamblin,0
predicted,addicted,1
favorable,alderson,0
disloyalty,prusha,0
heiresses,moniker,0
beeker,tasty,0
langton,habsburg,0
spillman,maddux,0
bohling,bohling,1
cleaned,nostradamus,0
maffeo,maffeo,1
dillenburg,averette,0
ghorbanifar,bhosle,0
impressionist,impressionist,1
hoppel,leveling,0
manischewitz,evetts,1
viscount,spelunked,0
lieson,permenante,0
appraise,klase,1
iezzi,betsey,1
welp,norberg,0
levee,shawna,0
playing,bamburg,0
rozak,strassburger,0
humburg,underemployment,0
mattice,orben,0
adkisson,willens,0
festered,pestered,1
mortem,clayey,0
eberle,haeberle,1
blinder,mullany,0
soldering,mendes,0
target,target,1
brewer,jersian,0
defunding,spackman,0
swamps,acierno,0
cecil,redd,0
remanufactured,remanufactured,1
hinch,cheslock,0
christensen,excites,0
ellingsen,ellingson,1
exporting,scipio,0
sahlman,legitimacy,0
gelfand,fitzwilliam,0
tomek,kidded,0
divestment,oehlke,0
stoffel,needham,0
solicitous,felicitous,1
hendry,hunan,0
joswick,walko,0
reappointment,reappointment,1
vanous,russow,0
caseworker,sciences,0
diverges,surges,1
leavitt,ettinger,0
stettler,guettler,1
synar,sligh,0
chronis,watchdog,0
banking,nanking,1
rearick,learnt,0
hendrik,fendrick,1
champion,narratives,0
zimmerman,dinse,0
houlihan,houlihan,1
gossage,sausage,1
rautenberg,rautenberg,1
whistled,impediments,0
morath,siegert,0
flapping,lifeline,0
magnant,lyster,0
sybil,glassblowing,0
ager,debruyn,0
interviewing,barbequeing,1
yitzhak,polynomial,0
bentson,bentsen,1
husks,husks,1
pantaleo,camouflaging,0
wernert,compartment,0
hanners,eccles,0
fegley,shankel,0
plaino,credit,0
urso,urso,1
laslo,zaslow,1
lobster,removals,0
corgi,corgi,1
syrians,zorkin,0
flounders,barrientes,0
travelled,planar,0
hamburg,vanamburgh,1
roger,dodger,1
molting,tibbett,0
glendinning,polytropic,0
juul,uhle,1
basnett,basnett,1
nathe,medved,0
numbering,numbering,1
thommen,grantor,0
arendt,nimmons,0
sittig,nowlin,0
lisec,eternity,0
morby,morby,1
schweppe,kleppe,1
howled,growled,1
simich,exhibits,0
kidding,mentoring,0
abramowicz,abramowicz,1
outermost,pompa,0
heartwarming,snuggle,0
saksa,jurisdictional,0
impugning,swooning,1
matulich,prucha,0
brainwashed,pragmatically,0
cutting,strutting,1
forage,balbach,0
ivory,mihal,0
herpes,herpes,1
guster,theodor,0
gutierez,rivieres,1
unaccustomed,edward,0
crossborder,esophagus,0
filtered,filtered,1
hergert,hergert,1
esker,shogren,0
larsen,vanornum,0
mizel,grandstanding,0
dimetapp,mended,0
wonk,wonk,1
appealable,odonohue,0
trojans,entrusting,0
scaffold,galton,0
gaspe,oughta,0
dewit,hughett,1
tumors,mattox,0
stronach,glocester,0
shive,vive,1
tilford,guilford,1
calming,calming,1
koopmann,koopman,1
subtle,nuttall,1
farsighted,avocados,0
salisbury,kohlmeier,0
encircling,rathburn,0
morphogenesis,marantz,0
kubler,hoobler,1
whittemore,whittemore,1
accosted,accosted,1
unruh,unrue,1
garbed,barbed,1
tischler,ultramodern,0
yuppies,hannifin,0
holliman,puppet,0
daft,laughed,1
irrevocable,whelchel,0
expatriates,munsch,0
unprintable,undamaged,0
chalking,inhibiting,0
bidders,considers,1
fuel,buell,1
macworld,koziel,0
waterbottles,waterbottles,1
notary,notary,1
grasping,grasping,1
peirce,fierce,1
leinberger,walcott,0
sontag,unsuccessful,0
tapias,hedging,0
discovery,discovery,1
cicely,cicely,1
culled,dulled,1
forest,tires,0
tariff,arrayed,0
gupton,gupton,1
coupons,coupons,1
probationer,gillock,0
cancom,smarties,0
traveler,traveller,1
serendipitous,precipitous,1
romine,brahmin,1
niven,staphylococcus,0
hoisted,hoisted,1
calvin,malvin,1
stalky,anderberg,0
chafes,safes,1
nasally,colgin,0
koeki,quattrochi,1
yelvington,cheerful,0
acknowledgment,repairable,0
monied,tenth,0
jordahl,nordahl,1
apprenticed,protesters,0
kropf,hopf,1
demichele,petrochemical,1
catchment,catchment,1
symonds,symonds,1
riester,hiester,1
registered,unregistered,1
hoskin,hoskin,1
climbers,timers,1
rigorous,vigorous,1
hillerman,order,0
impinged,oversimplification,0
films,santa,0
rebmann,leffew,0
councilman,sloth,0
downsizings,jacking,0
mcclurg,mchargue,0
mansions,mansions,1
chinnock,chinnock,1
rooted,fausto,0
aloysia,krolak,0
sunau,boldness,0
mccauthy,andrus,0
woznick,morales,0
strouth,mclouth,1
packet,jacket,1
thornsberry,bittermann,0
gruffly,gruffly,1
englehardt,emmert,0
valdovinos,casinos,1
clairson,pehrson,1
pedersen,pedersen,1
corroded,goaded,1
gillmore,schroedl,0
galanos,holzwarth,0
rubbery,auguste,0
brydges,ridges,1
howdyshell,garps,0
neft,theft,1
sagan,fighter,0
letsinger,citrus,0
greulich,stoltzman,0
vitruvius,vesuvius,1
provence,forward,0
heckling,faxer,0
bodo,bodo,1
community,community,1
vargas,tamanaha,0
englishmen,dunman,0
willetts,rigas,0
mesick,stretches,0
signaled,signaled,1
garb,palermo,0
wesp,rehydrate,0
bodley,swadley,1
trescott,ciesla,0
canonic,poet,0
liebermann,conform,0
matas,matas,1
druids,druids,1
nofsinger,perplexity,0
apartment,edney,0
homosapiens,whitey,0
dudik,yeagle,0
kenilworth,flamboyance,0
patted,patted,1
ostensibly,farabee,0
winton,kimba,0
speechwriter,fassnacht,0
madej,humerous,0
pseudonym,pseudonym,1
ziebell,ziebell,1
moratoriums,auditoriums,1
sitko,filings,0
filice,nealis,1
detox,roadblocks,1
darga,lifesaver,0
stockpile,thornsbury,0
gaufman,koffman,1
hagemeier,harve,0
filma,multilayered,0
impossible,slathered,0
explosive,erosive,1
nurture,mckercher,1
flanagan,killoran,0
lesson,wooster,0
mongers,faced,0
jarratt,unsuitable,0
vigna,resilient,0
szymczak,klimczak,1
eletr,eletr,1
begonia,gonya,1
bergh,bergh,1
delta,delta,1
overshadows,overshadows,1
examiner,gorum,0
mccully,mcculley,1
dabbling,babbling,1
informants,contraptions,0
huddled,reporters,0
salemme,reopening,0
basements,displacements,1
simoneaux,vipin,0
sheerer,stasney,0
tylka,zylka,1
hagglund,patriarchy,0
wattenberg,wattenberg,1
wint,misprint,1
babysitters,normile,0
sconnix,photronics,1
greunke,muench,1
hersman,mahnken,0
drummey,mummey,1
heroically,heroically,1
rapacz,christoffel,0
gossage,gechem,0
respondents,gubbins,0
covering,majure,0
infertile,purtle,1
clodoveo,polity,0
sanford,mirkin,0
sherod,wettest,0
ludvigson,volkmer,0
gravatt,gravatt,1
starfish,swordfish,1
blackness,blackness,1
halterman,halterman,1
berzin,giorgio,0
chilliest,legent,0
laureate,baccalaureate,1
cropley,muntz,0
yeisley,kneisley,1
sahagian,apprentice,0
pettersson,lastest,0
antecedent,decedent,1
fabron,fabron,1
labarre,farai,1
flooded,aimless,0
felkins,elkins,1
kimery,benbow,0
mammals,diary,0
willed,spilled,1
tormentors,experimenters,1
macomb,kollasch,0
slavin,patchett,0
rimson,rimson,1
geddis,readus,1
nestling,mccollom,0
coldly,dutka,0
erakat,diederich,0
goddart,burckhard,0
kurlak,berlack,1
ryner,semiconductors,0
reopening,meriting,0
olive,palmolive,1
reisig,reisig,1
ruzek,ruzek,1
whoosh,dush,1
enderson,fenderson,1
abatement,reinstatement,1
pagezy,mezey,1
eslinger,comprint,0
studtgard,gerhard,1
glamour,lunger,0
shelving,locally,0
brumit,cages,0
rissman,shoplifting,0
undeniably,undeniably,1
coding,eminence,0
crackling,cackling,1
sankei,francie,1
condors,sentimental,0
bulloch,gotcher,0
howdeshell,howdeshell,1
copywriter,jacka,0
men,enerson,0
snitker,monied,0
draftsman,craftsman,1
kuberski,corners,0
jellied,pixie,0
youngers,monad,0
blackmailing,matta,0
waitman,heitman,1
mokry,zachry,1
toobin,lepers,0
grundhofer,grundhofer,1
hovel,gunderman,0
densities,novakovich,0
verble,nonverbal,1
undercounted,daffin,0
nonconvertible,convertible,1
likable,likeable,1
dressier,lamantia,0
amyotrophic,twisted,0
jimison,methodical,0
royalist,ratliff,0
barth,broadrick,0
maneuvered,maneuvered,1
starve,pagodas,0
enlighten,brighten,1
superpowers,musgrave,0
yglesias,nino,0
wildavsky,donovan,0
eleanore,ervin,0
houghtaling,peterman,0
churchmen,subtyping,0
flavio,compatriot,0
kristensen,transferred,0
pathologist,snapdragon,0
roast,ghost,1
larios,aggressiveness,0
foolish,candid,0
toggled,toggled,1
hygienists,frantically,0
zufall,rueful,1
liberato,trovato,1
rums,shysters,0
schickling,strickling,1
mceachern,mceachern,1
neoplatonist,platonist,1
rivas,grivas,1
bostra,bostra,1
conditioners,ogren,0
wesp,espe,1
valent,weyant,1
bankers,biologist,0
touches,kestel,0
pelzel,delzell,1
pollinia,pollinia,1
doberstein,topical,0
chemically,chemically,1
pharoah,partney,0
alewife,loosestrife,1
muzik,bizango,0
donors,owners,1
beaverton,hirzel,0
driest,herronimo,0
brinkmeier,brinkmeier,1
gevaert,winery,0
addington,adelmann,0
regas,viegas,1
merline,merline,1
storybooks,gamper,0
helma,flannagan,0
stucki,parker,0
lachenbruch,lachenbruch,1
glendinning,secessionists,0
carragher,faragher,1
usery,tempted,0
